strategy,Llava_7B_ROUGE,Llava_7B_BertScore,Llava_7B_gen_tok,Llava_7B_sec/tok,Medllava_7B_ROUGE,Medllava_7B_BertScore,Medllava_7B_gen_tok,Medllava_7B_sec/tok,,
greedy,0.1602,0.8347,48.09,0.0364,0.1725,0.8418,42.91,0.0404,,
beam search,0.1566,0.8324,52.34,0.0522,0.1718,0.836,57.04,0.0439,,
diverse beam search,0.1582,0.8323,65.49,0.0612,0.1715,0.8395,47.5,0.054,,
contrastive search,0.1613,0.8356,45.78,0.0532,0.1723,0.8411,42.17,0.0566,,
DoLa,0.1599,0.8348,47.69,0.0386,0.1632,0.842,33.77,0.05,,
Temperature,0.158,0.8347,48.4,0.0349,0.1645,0.839,41.35,0.0394,,
top p,0.1478,0.8331,43.19,0.038,0.159,0.8368,44.34,0.0367,,
top k,0.1442,0.8332,50.89,0.0369,0.1543,0.8372,43.82,0.0406,,
min p sampling,0.1554,0.834,49.38,0.0371,0.1756,0.8408,45.45,0.0379,,
eta,0.1424,0.8325,50.75,0.0395,0.1547,0.8352,45.33,0.0397,,
typical,0.1455,0.8331,45.77,0.0387,0.1577,0.8366,44.72,0.0379,
